character,n.male,n.female
阿,277856,598454
啊,2726,5330
皑,392,640
蔼,1735,7691
霭,496,2499
艾,60098,247092
爱,1443486,8347869
叆,11,34
安,4610624,1114890
桉,4250,1711
谙,124,134
岸,22487,11265
昂,114849,10247
敖,17441,2114
遨,1107,130
熬,1475,105
翱,15014,1310
鳌,6121,128
傲,93106,33758
奥,124385,28948
骜,4052,423
澳,46028,10316
鏊,180,15
八,43674,38700
巴,41015,23492
粑,1,1
拔,667,96
白,80178,207742
百,276137,101455
佰,136942,39523
柏,820862,158797
拜,662,339
班,5120,2273
板,1220,2912
邦,673998,154210
帮,293280,125144
榜,63269,3175
包,5347,1998
薄,2067,611
宝,5172285,2127202
保,3517598,832890
葆,7780,5287
报,11204,860
抱,845,702
豹,86099,227
鲍,953,65
暴,120,34
杯,2766,1275
北,147648,24703
贝,86040,200807
备,26759,3003
倍,14784,18071
被,108,328
琲,244,1008
焙,977,769
蓓,7003,205658
奔,42332,4410
犇,15187,658
本,1096052,401865
笨,293,209
镚,16,0
比,5245,3339
彼,1446,138
必,335288,172516
毕,22837,13225
铋,46,28
弼,6039,391
碧,222613,2524623
壁,5184,2918
璧,3947,5419
边,5893,3025
卞,134,187
变,1927,102972
标,845697,10698
彪,967676,3401
飙,3459,90
镖,4281,108
镳,232,8
表,9342,1904
苾,47,297
邠,3,0
玢,952,3973
宾,508910,42041
彬,3332598,471470
斌,4814830,243107
滨,425603,55294
缤,2195,2275
槟,10546,1806
镔,9625,895
膑,1096,179
冰,444612,920261
兵,4454868,242185
丙,473169,184529
邴,55,5
秉,204130,34801
柄,15255,1392
炳,1598317,336561
卜,21735,12990
波,5517079,1119504
玻,2612,442
菠,4139,2508
伯,542519,139798
泊,23534,5210
勃,65383,7933
铂,6765,1161
博,2060262,283098
渤,19131,2385
搏,16639,1463
擘,1314,241
布,41532,13806
步,144816,41060
部,1241,135
才,4335195,456247
材,57873,1548
财,1755371,80700
裁,92,26
采,10037,66793
彩,321983,4929244
菜,599,28378
蔡,3451,3272
参,22501,10045
灿,740373,292290
粲,2433,2989
璨,10272,22151
仓,188522,5293
苍,26699,2560
沧,4272,177
藏,4772,13635
操,27569,2056
曹,9625,2641
草,11736,41840
策,98477,10271
岑,34318,42598
涔,978,1674
层,2836,8086
曾,49232,26881
茶,3637,134544
查,4782,4995
钗,4718,101717
柴,540,473
婵,3343,548106
禅,1512,1842
蝉,1942,16197
潺,1283,1684
产,14627,1300
昌,4834799,996487
尝,658,628
常,556042,233275
偿,219,342
嫦,299,159246
长,5015722,1536700
厂,20146,321
场,5377,159
昶,45506,4728
畅,181748,187418
唱,3938,8307
怊,8,9
钞,3701,586
绰,914,681
超,5289288,838488
焯,33321,5146
晁,1791,165
巢,393,124
朝,2802255,1103856
潮,223546,16760
车,6405,7427
彻,3050,313
澈,4344,2059
郴,2501,819
琛,177680,86023
臣,1315806,62211
尘,14800,6299
辰,399521,159184
沉,2877,5044
忱,36516,8383
陈,215129,187502
宸,107931,30533
晨,1136672,815879
谌,682,308
趁,6586,28576
琤,1429,3210
称,7219,6199
成,11279627,2009329
丞,54955,3717
呈,93865,28348
枨,411,90
诚,536683,43602
承,1067757,314925
城,742645,38616
宬,1073,264
埕,583,106
乘,11959,2344
珵,369,629
铖,61995,6562
程,758016,179524
澄,51459,21985
橙,6286,6991
骋,14630,2136
池,231479,89236
弛,16315,4568
驰,149894,23612
迟,7189,3961
墀,293,82
赤,5377,6294
炽,31042,1951
冲,342204,46518
充,6774,1195
翀,25201,6308
憧,785,647
虫,911,1052
崇,655729,200477
宠,4788,2097
铳,210,16
仇,408,218
俦,148,60
畴,1914,153
酬,379,247
筹,1439,311
初,417347,85158
杵,343,79
础,2529,412
储,5238,1190
楚,335756,360955
褚,292,231
川,1118609,148579
传,2614816,1102966
串,2701,6409
闯,237688,10305
创,187811,7230
吹,422,488
炊,72,43
垂,26297,6294
春,8840099,13237704
椿,20338,7262
纯,441862,480087
莼,131,1322
淳,72124,41007
醇,824,705
词,2884,2578
祠,230,72
辞,1336,1545
慈,42968,126705
次,10451,6529
赐,87952,7251
枞,899,483
葱,2744,12353
骢,1502,231
璁,945,568
聪,1069222,528771
从,627210,406122
丛,80260,105961
淙,2303,791
琮,8743,2530
凑,313,296
粗,2,1
崔,2139,12533
璀,1211,2467
萃,1610,19572
粹,689,877
翠,77218,7421584
村,33931,8105
存,1149087,703633
措,15967,61574
达,1410018,147601
妲,152,3698
笪,1,0
大,3037725,1383096
代,637041,457264
岱,23025,9463
玳,355,706
带,11112,110552
戴,4099,4087
黛,217,12643
丹,303899,3630777
单,11494,49266
眈,9,11
聃,3963,3750
儋,33,49
旦,108972,48912
诞,516,325
淡,3313,9551
澹,161,160
铛,324,355
党,81970,25894
档,577,777
刀,1470,897
叨,239,78
岛,3673,442
道,1654721,610386
的,5522,18104
得,561013,148359
德,11382591,3034488
灯,61854,15226
登,904287,346862
等,2886,7075
邓,15651,11294
堤,3968,1198
狄,12847,2835
迪,460857,405047
荻,3289,8809
敌,3184,438
涤,5052,2663
笛,24310,39101
嫡,83,1150
镝,3272,1239
邸,61,51
砥,884,103
地,87147,44182
弟,444468,487850
帝,46229,6922
娣,22018,2319260
第,7136,2118
谛,603,313
棣,16865,6488
典,144966,43362
点,15932,17215
电,17070,3820
佃,28326,19488
甸,787,884
店,1208,1790
钿,13838,7827
殿,579379,134694
刁,1458,5451
雕,6274,1147
迭,139,153
叠,1263,1339
蝶,2361,156355
丁,232436,148940
叮,1003,1476
玎,1221,2403
顶,58824,7741
鼎,107706,5034
订,154,73
钉,2262,496
定,1150343,484273
锭,3291,1801
东,8220212,1528281
冬,1401055,2940441
咚,1420,613
岽,489,83
董,16530,5149
懂,6705,938
动,35822,3459
侗,1924,542
栋,1220003,32962
洞,4437,794
都,51169,8002
斗,80464,5445
豆,18815,42399
窦,188,193
独,432,539
读,991,209
笃,17821,3225
堵,117,45
杜,26569,29622
度,6188,1751
镀,130,43
端,174811,207960
段,945,12707
兑,650,343
敦,115407,30290
墩,3076,209
盾,7884,729
多,232022,188407
哆,123,180
夺,12227,1345
铎,122819,6003
朵,9736,140501
舵,4151,449
婀,3,1707
俄,1791,1390
峨,637,755
娥,14836,4833231
鄂,3826,2226
谔,8,2
鹗,2,0
锷,2377,248
恩,1580494,521657
儿,75394,287624
而,1626,1739
尔,132058,84814
洱,108,73
二,736402,835214
贰,730,2146
发,4484512,708266
法,1168919,67401
帆,478220,285785
番,4343,4410
蕃,1208,789
藩,10688,1178
翻,3286,9231
凡,1249979,792564
钒,8937,4228
樊,10348,6640
璠,8466,22648
繁,138462,67760
蘩,45,102
反,4483,1053
范,96820,141701
梵,4942,4257
方,1775954,1290319
邡,4,4
坊,1755,1242
芳,1621795,17846355
钫,547,942
房,33759,4805
纺,302,2321
昉,3086,3395
舫,4693,9005
放,90968,28005
飞,5213572,1743649
妃,9840,129956
非,101522,50602
菲,61661,803923
绯,415,2047
霏,16534,82923
斐,72863,105514
翡,744,5124
费,1397,543
分,16847,127655
芬,169957,9044552
纷,305,4715
汾,453,1289
粉,7186,669340
份,296,811
奋,42429,13138
丰,1208088,297327
风,771131,2518815
沣,12759,2150
枫,165961,82373
封,8481,938
峰,5863450,528587
烽,86785,4500
锋,3160501,208152
蜂,1141,3160
冯,14921,7725
逢,81983,37974
凤,1899398,16170557
奉,50473,31710
俸,2109,933
佛,25361,11699
夫,267998,68595
敷,91,85
伏,74242,100337
芙,2406,155921
孚,2971,777
绂,72,26
符,1338,699
涪,983,216
福,7617439,1830935
甫,358992,27683
府,24676,803
俯,79,4
辅,17045,1181
付,1437762,419838
阜,2266,211
复,55569,17209
赋,8663,616
傅,4322,800
富,4678606,646489
馥,5441,29443
伽,2493,4389
嘎,17208,13541
尕,3441,11351
改,71320,973131
盖,6191,810
甘,9364,5995
敢,24836,966
感,981,290
干,195905,60130
淦,53046,3899
赣,6266,987
冈,4260,195
刚,5298773,54426
纲,63647,1220
钢,433473,6684
罡,35173,796
岗,248584,2906
港,89578,4024
皋,3996,113
高,1989633,247741
郜,78,14
戈,49167,17842
鸽,18538,137021
歌,44489,136870
革,166002,54547
阁,105031,124410
格,100443,346407
哿,286,205
舸,6858,2161
葛,6821,2400
各,8858,17353
根,3150023,628983
亘,1267,271
艮,43223,68203
庚,215470,48963
耕,32193,3739
赓,5236,169
耿,82459,7210
更,68495,7703
弓,3101,183
公,114954,17652
功,525672,56298
攻,425,113
宫,2016,591
恭,28536,2182
龚,5863,1428
巩,3490,626
共,7574,1596
勾,7,3
钩,861,121
苟,17574,1427
姑,622,82877
古,28515,11759
谷,69954,75245
鼓,224,43
固,12690,888
顾,4018,1527
乖,2215,9747
关,182042,81075
观,223611,148789
官,222168,44703
莞,897,7068
馆,60,7
管,3878,1719
贯,25035,4999
冠,453553,91190
瓘,35,15
光,7346787,2043014
广,4101481,1033730
桄,442,60
归,5270,2770
圭,2557,1429
规,3611,576
瑰,611,11460
癸,1181,414
柜,304,73
炅,4832,1051
贵,5655959,2012714
桂,2561248,15588785
桧,1470,2519
郭,15947,23816
国,18301106,3807903
果,221559,322482
过,12654,12499
哈,15871,3802
还,3150,3991
海,13454516,6106893
含,58652,164276
函,30961,50228
晗,121520,202320
焓,3662,5076
涵,461895,738806
韩,58734,41428
寒,130974,190698
罕,10623,11715
浛,620,2222
汉,1984348,403287
捍,7995,608
悍,413,16
菡,2841,60624
撼,867,89
翰,139274,9966
瀚,152948,19719
夯,2606,906
行,481566,83969
杭,161756,47213
航,1032841,144549
沆,491,121
蒿,1064,289
毫,51054,1921
豪,2337394,40411
好,355376,352329
郝,3396,1393
镐,6056,145
昊,1017892,72864
浩,3846759,212163
淏,12151,1254
皓,398730,57128
皞,2306,284
颢,22368,5700
灏,71944,6972
呵,667,855
禾,25221,39126
合,897555,220939
何,69606,67630
和,2825285,665518
河,715451,47760
荷,11624,406350
核,1900,738
贺,502118,188844
赫,106716,28487
鹤,242290,134543
壑,675,288
黑,48178,44963
亨,71269,8808
哼,69,22
恒,1960624,340356
珩,25444,13317
桁,2624,304
衡,161576,21865
蘅,2230,2654
轰,1311,250
訇,4,6
烘,2345,493
弘,109650,35884
红,5428392,16245963
宏,3417987,1012646
泓,128118,56803
虹,111915,756124
洪,6677683,2535634
鸿,1164292,360045
侯,6718,2239
后,190459,64980
厚,617971,152962
候,6133,2033
乎,100,45
呼,1501,275
胡,37791,59034
鹄,4290,1014
湖,114125,12147
瑚,1455,4029
虎,2074758,27123
浒,2855,103
琥,3629,425
沪,4310,837
祜,1230,84
扈,16,2
花,93101,11919454
华,17364822,17898572
哗,346,673
骅,21249,5580
铧,9817,5095
滑,414,536
化,345788,148138
画,2213,12538
桦,71418,74643
怀,1634943,610489
淮,48534,5220
槐,39552,11003
欢,571001,1007258
环,137532,781894
洹,1158,552
桓,57496,7523
寰,12523,3774
奂,1135,1354
换,29087,153642
唤,1576,14279
涣,1865,1685
浣,304,1377
焕,884773,1208234
荒,493,93
皇,19840,4681
黄,44157,41014
煌,207416,18202
璜,3193,1571
蝗,30,9
篁,27,12
晃,6284,1488
挥,4408,576
恢,1256,132
珲,12941,3872
晖,324732,157805
辉,7771469,1868900
徽,31489,15995
回,10836,23360
卉,4582,149573
汇,34252,22609
会,1678635,4164143
荟,4088,53778
绘,5278,32087
惠,731364,3644875
慧,591876,5187528
蕙,868,40608
火,315888,178058
伙,31382,31082
钬,217,17
货,6647,416
获,1242,545
惑,53,33
霍,662,119
击,179,46
玑,383,401
机,8235,3885
积,155059,25947
姬,774,112371
基,583083,70011
箕,330,104
激,2713,843
及,2420,517
吉,2185444,908329
级,2437,323
极,7563,1070
即,224,98
佶,5730,2026
集,36663,7095
楫,371,67
辑,1697,527
籍,883,535
己,2867,1909
戟,2182,414
计,166796,62657
记,205350,72691
纪,651471,335091
技,4936,640
际,89754,18246
季,81198,73905
济,196228,39115
继,2487817,1074053
偈,110,18
寄,2641,1362
绩,5503,863
蓟,224,159
霁,12033,14417
暨,70,19
稷,2241,309
冀,20730,5087
骥,43685,2851
加,1516711,586218
佳,2485494,3737626
迦,5844,3493
珈,16350,31275
家,4834744,1637931
笳,300,520
葭,233,1589
嘉,1427142,1175355
镓,4084,1635
夹,26,13
荚,0,2
甲,203733,43546
贾,2288,1302
价,188,79
稼,6308,1123
尖,4748,4152
坚,686330,110197
艰,12,15
监,1101,87
兼,1067,439
菅,97,141
笺,67,110
俭,182204,53532
捡,1018,911
检,19504,29519
简,6897,6553
骞,51777,12838
见,222045,57707
件,9344,838
建,15013980,3958240
荐,3266,899
剑,1280392,237255
健,2589280,408024
舰,29876,2358
涧,2021,985
楗,1032,66
鉴,75474,5649
键,112876,10655
箭,11935,1391
江,4771861,690171
茳,370,211
将,59469,2151
姜,15289,17488
疆,28678,3290
奖,3983,541
蒋,7451,1741
降,2497,599
绛,142,435
郊,534,355
娇,27115,2223329
姣,19107,1302030
骄,13978,15426
蛟,48373,11291
焦,4002,8477
角,2212,1302
佼,3079,7769
矫,373,437
皎,4379,21016
叫,3764,6442
觉,26636,7208
教,27521,6104
阶,8143,580
皆,3746,766
接,3312,3092
揭,12,12
节,34722,35825
劫,3,5
杰,8469509,2801490
洁,288021,2392238
结,82042,129433
桀,3075,496
捷,188062,114801
婕,566,331679
颉,7897,5134
睫,78,456
解,29139,22229
介,33912,9430
界,32364,1777
诫,14,1
巾,906,6211
今,13193,35218
金,11246818,10908356
津,103432,74251
衿,734,1337
矜,209,759
琎,2215,1489
仅,388,583
堇,86,234
锦,1928092,1080715
谨,19447,17458
瑾,54154,255707
尽,7631,3943
进,2896642,597586
近,22798,15191
劲,211995,21764
荩,232,485
晋,357191,136465
浸,103,144
靳,2148,1626
缙,1968,513
觐,663,208
京,489678,295323
泾,1159,536
经,182688,41007
荆,4708,6728
菁,20720,242400
旌,3248,944
惊,6268,2034
晶,262194,1595958
睛,1081,13578
兢,5065,3466
精,31249,21760
井,464372,272221
景,2064503,1205700
儆,436,222
憬,2357,2440
璟,31447,49340
警,12396,2506
径,2127,1213
净,9960,55842
竞,40264,31104
竟,16328,8499
婧,951,627251
敬,1075209,660543
靖,376645,323446
静,546798,5487469
境,16720,6668
镜,102621,31443
迥,257,69
炯,95649,14053
九,380714,363912
久,569945,209950
玖,68756,32175
酒,273,435
就,22789,3440
居,76889,22991
驹,34650,732
琚,691,615
鞠,384,1377
桔,5310,23075
菊,129492,7544272
矩,439,60
举,580245,59324
巨,115593,21174
炬,27800,2552
钜,11724,268
剧,170,165
锯,14,2
聚,136981,17796
涓,715,19900
娟,20518,9913259
鹃,841,38423
珏,28168,68337
爵,9676,487
军,15118344,1457745
均,1162749,293417
君,2283288,3168083
钧,301356,45584
筠,8126,48572
俊,7393545,3608928
郡,11105,14150
峻,154449,18545
隽,20938,18758
浚,31625,3701
骏,361656,24153
珺,26810,105805
竣,33440,2615
卡,11488,9827
开,2396544,1053455
凯,2897232,404470
垲,2070,195
恺,116554,18253
铠,27246,2796
慨,1807,195
楷,199168,11760
锴,75447,3688
刊,2141,919
龛,7,0
堪,3191,399
坎,4131,2801
侃,30245,3825
阚,214,82
瞰,284,95
康,2382387,230307
慷,7264,405
亢,2480,724
抗,14220,6742
考,21278,5791
烤,156,14
苛,2372,3783
珂,140098,236051
柯,172857,119462
轲,38029,11569
科,1496796,148821
颗,724,556
可,602758,588832
坷,3326,2822
克,1919779,721759
刻,936,179
锞,1042,394
肯,4009,685
恳,2038,413
坑,28,5
铿,12169,849
空,10745,857
孔,117244,41164
寇,357,173
库,124005,770
酷,328,50
快,13729,7762
宽,731525,53898
匡,5023,417
狂,501,44
邝,109,20
圹,82,38
旷,3695,774
况,1484,717
矿,13430,500
岿,1212,193
奎,1638173,156092
逵,10842,209
馗,2006,88
揆,626,40
葵,38732,104749
魁,307815,13321
坤,3314404,964709
昆,449635,65247
琨,89494,40107
焜,24325,1967
锟,52597,4576
鲲,22267,2813
阔,82592,5345
廓,630,139
拉,32068,69116
腊,38267,356923
来,1927459,470219
莱,3773,5467
徕,255,84
赖,3744,798
籁,94,56
揽,238,476
兰,652920,24861769
岚,52006,258966
阑,96,1192
蓝,14903,78467
澜,17130,47180
篮,148,784
斓,542,4936
镧,97,288
烂,2141,4067
郎,22228,4683
琅,6875,4055
榔,258,154
稂,30,25
朗,119219,23054
浪,242067,38491
劳,3752,906
老,183237,87316
烙,1405,298
了,1520,4271
乐,1655955,765259
雷,1229889,121884
檑,1191,206
镭,9023,2017
耒,475,166
垒,86890,8956
磊,2766464,265256
蕾,71486,691531
累,2365,1149
棱,1867,1484
冷,2990,10726
离,451,649
骊,1561,5577
梨,5140,65160
犁,1575,1764
鹂,662,6793
蓠,10,48
璃,128,359
黎,216469,236173
藜,290,1369
礼,1858895,405398
李,242866,340044
里,145066,25262
俚,109,207
理,369278,83390
鲤,541,519
澧,567,307
力,911631,239556
历,21241,8621
厉,792,692
立,5197258,2420716
丽,359797,20528424
励,11828,10377
利,3811732,4106736
沥,1374,2408
隶,276,131
荔,3035,32265
栎,4154,5103
郦,210,3167
俪,204,14224
俐,6941,131708
莉,29232,3514089
栗,3107,3252
砺,911,381
砾,909,1244
笠,5531,1540
雳,1842,572
溧,664,810
连,2470338,5909622
莲,59543,6951917
涟,623,3132
联,228780,122653
廉,28883,6889
濂,856,246
镰,486,229
琏,1141,1466
练,25553,14785
炼,44492,15252
恋,6760,89780
链,3342,4090
楝,206,175
潋,459,776
良,6237726,1020847
莨,153,50
凉,3867,4978
梁,303513,24709
椋,583,100
粮,22943,3604
亮,5446696,298582
谅,1688,520
靓,14916,77892
量,15761,1595
晾,143,112
辽,13360,3841
廖,794,490
列,30376,26180
洌,240,108
烈,157896,30258
邻,1538,1076
林,13365978,3780381
临,27921,10773
淋,50635,59145
琳,267125,1981816
粼,493,598
遴,141,71
霖,479843,172023
鳞,971,532
麟,226255,45063
凛,1949,800
蔺,2365,2345
伶,16949,222392
灵,338141,891600
苓,14291,209929
泠,542,4312
玲,316115,13554732
瓴,391,240
铃,32357,164617
凌,296152,280279
陵,20795,9431
聆,625,3868
菱,1510,21242
棂,217,334
翎,3918,17454
羚,1982,14660
绫,82,874
零,2334,2889
龄,19990,35504
岭,384847,146854
领,227987,83667
令,517360,306331
呤,141,325
刘,144566,184480
浏,3072,2068
留,313853,133805
流,62564,13894
骝,976,86
榴,1141,16453
鎏,2519,1050
柳,186917,805452
六,245895,257483
龙,10552349,752701
泷,9465,1357
珑,24652,20701
胧,862,332
隆,419696,58158
垄,958,481
娄,668,278
楼,82202,25827
卢,7460,3805
芦,2141,3981
炉,10541,943
鲁,125653,40233
陆,139264,49665
录,333263,33576
鹿,6099,5216
渌,343,541
逯,120,104
禄,650019,64155
路,516727,272417
潞,5139,18500
璐,118184,847697
鹭,6504,21938
麓,784,829
露,156231,783038
虑,417,266
栾,720,3385
鸾,1714,51126
銮,19957,116294
略,15498,1842
仑,23293,2072
伦,1034689,166594
纶,3171,568
轮,15571,2817
论,10337,5264
罗,114876,77053
椤,114,46
锣,570,136
跞,433,194
洛,62110,29851
络,876,381
骆,3712,886
珞,2203,4431
落,7805,7488
雒,63,31
吕,28226,9674
侣,2778,1272
旅,2373,707
铝,2484,419
履,199,271
律,13102,4393
绿,21605,76186
麻,841,1235
马,62614,44963
玛,24369,66889
买,4403,8347
迈,9238,5421
麦,27718,140500
满,792691,839757
曼,20086,564146
蔓,1310,68495
漫,8592,112009
慢,1862,25509
镘,63,1134
芒,4341,6473
忙,5753,16865
漭,469,45
猫,2353,3428
毛,284242,250538
矛,1369,371
茆,47,25
茅,717,383
茂,2068010,640657
冒,587,129
懋,11551,1893
么,2360,31908
玫,1589,80315
枚,7084,220404
眉,2476,46446
莓,5,538
梅,263700,20222859
嵋,159,1184
湄,123,4607
楣,387,1562
镅,23,333
每,85,429
美,948017,12273055
渼,11,218
镁,684,5403
妹,67224,4641222
媚,1087,355996
门,6110,5176
萌,135637,548727
蒙,150013,248999
盟,35955,21099
檬,3269,8859
朦,4214,23429
猛,432342,9541
锰,5784,412
孟,576869,438409
梦,514280,2534796
咪,1593,43661
弥,853,1157
迷,2284,17403
米,33644,151438
敉,186,375
觅,1195,2494
秘,4271,6860
密,27330,85225
谧,467,1338
蜜,3804,31937
绵,28619,30356
棉,12318,73211
勉,16539,21031
冕,9212,4935
面,292,2139
苗,126942,737980
淼,226798,220289
渺,2404,4916
藐,179,455
邈,1813,2102
妙,61858,459569
民,4816283,455642
旻,35106,26911
珉,17253,10806
闵,3430,5047
泯,1648,753
闽,20087,11931
敏,2069644,7372862
名,345669,96618
明,22039064,6200273
鸣,419738,167644
茗,27942,50186
铭,1141720,285259
溟,1201,399
缪,513,396
谟,1890,102
模,50365,5727
磨,611,146
末,2939,4812
茉,225,12347
沫,6131,10721
陌,584,707
莫,7614,12969
秣,50,15
蓦,190,192
漠,2258,1107
墨,41071,35699
默,20917,18332
牟,389,146
眸,151,212
谋,102055,7268
母,1071,2463
亩,363,248
姆,585,34625
木,805962,415916
目,3067,2582
沐,32265,18631
牧,23517,11269
睦,7130,1610
慕,21083,50563
穆,6117,4666
拿,753,1082
那,3076,12418
纳,11073,51184
娜,12873,3982167
乃,450378,203869
鼐,570,82
囡,2530,50263
男,268146,400046
南,1098412,586587
楠,612305,1041097
讷,329,1585
嫩,1815,17128
能,657953,147708
妮,21468,1585779
尼,8318,14859
泥,903,2648
倪,5174,13358
霓,1801,24351
旎,217,17832
年,863688,407692
念,200088,157334
鸟,1091,8799
捏,0,1
聂,2389,1590
宁,1500949,1266859
柠,6486,12752
凝,5625,52769
甯,148,138
泞,837,1078
妞,2277,119075
牛,113967,16524
农,52374,10796
浓,8925,33787
努,2748,5012
弩,319,55
暖,10506,40028
挪,588,2316
诺,57053,126380
女,10515,1047638
讴,165,155
欧,29435,21473
鸥,14845,25045
偶,529,2649
排,2637,2215
牌,747,259
湃,5461,1110
潘,36655,21209
攀,251040,55754
盘,18421,14104
磐,2236,312
泮,1110,854
盼,149784,407861
畔,2956,4391
庞,3431,390
胖,17201,22323
跑,1063,419
炮,2151,180
培,2099553,1181216
裴,3663,6457
沛,334599,172876
