character,n.male,n.female
佩,250435,915819
配,12974,24935
霈,3467,3740
芃,15174,11140
朋,1321034,145751
彭,65692,17591
棚,31320,1869
蓬,29522,8092
鹏,5494636,268187
澎,39218,2765
碰,1816,3036
丕,101342,38819
皮,1561,773
漂,1770,4731
飘,16215,43868
拼,1629,1109
姘,9,257
贫,404,380
频,3283,6331
嫔,68,7004
品,374815,215684
娉,72,25809
平,11506827,8155650
评,3756,3245
坪,21199,16415
苹,18935,604840
凭,2827,1628
枰,370,263
屏,8728,65019
瓶,477,3800
萍,163805,8084222
坡,185641,6923
珀,2584,1019
莆,495,215
菩,172,606
蒲,7797,15516
璞,52841,22736
濮,1702,378
朴,39247,12899
埔,2227,266
圃,1423,478
浦,26127,4173
普,313882,57953
溥,6570,617
谱,8369,1140
瀑,473,137
七,67808,95719
栖,2618,4891
戚,559,239
期,13926,4459
漆,356,165
蹊,1069,567
亓,370,559
齐,437968,147489
祁,11414,3560
圻,6096,3506
岐,184117,16089
其,1680147,568039
奇,1422950,248191
歧,16166,1591
祈,7732,2608
荠,200,832
耆,76,11
颀,2884,3416
萁,760,2500
崎,10736,3942
淇,93700,128265
骐,24809,4348
骑,4013,325
琪,624970,1507215
琦,601285,717770
棋,149306,61777
祺,206639,107625
綦,256,111
旗,304413,38790
麒,108054,20343
芑,77,115
岂,1155,176
企,3713,440
杞,4201,1488
启,2622619,894022
起,486474,53174
绮,6035,143328
气,8667,2041
器,2306,159
恰,1276,2106
千,193589,115345
仟,12124,10952
芊,5138,55583
迁,30775,13617
岍,214,192
佥,113,69
钎,1145,1043
铅,1618,835
谦,258996,43097
钤,996,724
前,561489,123569
钱,108370,38734
钳,752,679
乾,586490,77189
潜,14459,2805
黔,16416,4577
浅,970,2673
欠,4511,48122
茜,15187,557392
倩,29448,2046375
嵌,300,1422
锵,2965,207
强,9894803,166043
墙,1603,362
嫱,19,5691
镪,1790,46
悄,573,1884
乔,181054,203236
侨,21289,12078
荞,503,2719
峤,2332,1223
桥,503352,150945
谯,142,64
樵,4623,751
巧,117676,2745085
俏,6625,68416
翘,2813,6639
郄,1,0
钦,856964,273133
亲,9706,28769
芹,141990,5101147
芩,333,8258
秦,51430,37128
琴,112856,9583624
勤,1011453,1693111
沁,22693,91629
青,2677163,3849498
倾,1067,1187
卿,322196,534811
清,6065189,5674373
情,46748,180251
晴,61431,791380
擎,10618,5185
苘,60,114
顷,969,305
庆,6727267,2523574
箐,1317,6999
磬,558,934
罄,60,122
琼,203950,5542765
丘,2037,621
邱,4484,3725
秋,1541636,5325241
萩,67,269
楸,334,328
求,45190,17854
俅,173,33
逑,99,148
球,227033,160759
裘,1095,115
区,3110,675
屈,482,304
渠,17417,6163
蕖,113,641
瞿,556,265
曲,13270,26888
取,4174,3363
去,1060,645
趣,413,637
权,2374044,114493
全,5494055,722606
荃,8124,9345
泉,1613991,127255
拳,358,32
铨,53335,2237
劝,768,8619
雀,1094,4597
阙,57,36
群,1317926,3771495
然,732460,607241
燃,35400,22867
冉,102848,262417
苒,1558,9439
染,888,2837
让,83618,26377
饶,5891,3915
娆,248,10948
热,6814,6305
人,103250,29891
壬,6379,6864
仁,3270504,892925
忍,14260,12652
认,1679,5646
任,212911,78677
韧,8680,2626
仍,853,3303
日,714199,288666
戎,5184,4216
荣,8365962,10872422
容,167200,3005572
嵘,33869,23473
蓉,20764,2112103
溶,3419,17456
榕,76794,151481
熔,4156,8766
镕,7566,4032
融,15581,16718
柔,4576,122193
如,1228911,1543060
茹,39755,1481962
儒,360356,98125
濡,570,541
汝,462339,343410
阮,742,990
蕤,1767,2942
蕊,20787,776641
芮,17929,114037
汭,447,545
锐,741421,239332
瑞,3447610,4040395
睿,475759,327770
闰,8715,6615
润,969991,925586
若,190896,418317
偌,386,2526
飒,3624,17747
萨,1301,2685
塞,1586,1240
赛,151104,461332
三,1010333,1069449
桑,35043,36916
啬,2,7
森,1721708,99019
沙,26220,192937
砂,384,999
莎,3959,463875
厦,2945,2737
山,4140332,152161
杉,39787,74051
钐,387,926
姗,1062,269585
珊,69886,1084760
舢,17,4
闪,12828,65595
善,1348174,426361
商,2119,1045
晌,242,168
赏,4321,3817
上,145933,28221
尚,890300,284686
烧,219,1002
韶,56103,31907
少,1964904,1533971
邵,26336,9648
劭,9659,1876
绍,2211957,886902
哨,1415,1042
畲,1,0
佘,123,77
舍,2019,4663
设,116743,4002
社,240911,105236
涉,406,136
滠,44,7
申,434090,71205
伸,8863,1045
身,6672,532
诜,1,2
绅,6497,320
珅,10357,3432
莘,3493,6239
深,233202,19056
燊,38884,3767
神,17382,4658
沈,23571,11299
慎,45927,17336
升,1096255,90851
生,9911275,727828
声,256071,44259
笙,4748,1244
绳,1251,358
省,71768,30130
圣,829019,217324
胜,4863900,771352
晟,138483,14228
盛,1069196,162171
嵊,85,13
师,110263,33800
诗,456531,817526
施,19144,38530
湿,128,73
十,25139,16577
石,625900,245100
时,338406,162187
识,5288,1380
实,88878,28003
拾,6534,6365
史,3992,1432
始,2459,395
士,1767120,772467
示,275,192
世,5020341,1952886
仕,1408323,717367
市,6670,1415
式,5330,755
事,6503,532
侍,131,88
适,9256,2508
轼,1404,133
释,2086,1718
奭,313,72
守,1532834,645566
首,40233,7200
寿,1068293,219235
受,4697,1528
绶,20,10
书,2289071,2376852
抒,2714,7035
纾,264,1643
枢,18774,2409
叔,11369,58991
姝,1304,215606
殊,2787,4946
淑,218984,11393410
舒,106933,388430
疏,703,1356
属,415,453
署,4625,676
蜀,7002,6380
曙,93528,21232
术,163158,343195
述,230551,202608
树,3643426,1597134
恕,10896,2038
数,3530,2663
漱,246,471
澍,18586,5303
率,3544,678
帅,1656210,124759
栓,95449,16713
双,1548661,1588049
霜,16910,159179
爽,173140,472804
水,1932983,1509759
税,1227,905
顺,3793441,1256480
舜,96419,39567
烁,67481,37690
铄,13232,7097
朔,29590,8441
硕,448078,129188
司,15552,11962
丝,1567,55551
思,1552324,2205170
鸶,15,402
斯,137615,174163
锶,2417,10270
偲,4509,11687
似,971,1926
巳,639,324
四,559931,598171
泗,7752,2964
肆,591,193
嗣,31506,3947
松,4076954,658906
凇,4274,670
崧,10206,4618
淞,36047,3651
嵩,59439,5142
宋,40423,43799
送,20599,7242
颂,47571,20308
苏,227865,683369
稣,275,355
肃,7741,4278
素,163900,7101852
粟,5075,3729
塑,836,355
溯,3622,1552
绥,1966,1282
隋,404,329
随,36777,20163
岁,16516,12556
遂,14726,6649
燧,265,62
穗,12225,34591
孙,46880,14824
所,22859,6770
索,2881,1949
锁,325112,42022
塔,8027,4691
台,20026,12834
太,1130902,278647
态,37,4
钛,550,24
泰,309737,13795
坍,39,167
滩,934,345
坛,7113,3168
郯,163,59
谈,2739,1204
覃,3660,2743
锬,1044,197
谭,6584,2412
潭,19315,4254
檀,2246,1562
镡,305,207
坦,23777,6768
汤,2422,529
唐,57123,15053
堂,1315186,104401
棠,98740,60360
塘,4153,664
瑭,862,1072
傥,126,25
弢,6360,967
涛,5976855,394080
焘,18344,1239
滔,149791,12180
韬,199085,13602
桃,251263,1446518
陶,45026,24687
淘,9947,2827
特,49446,6675
腾,572905,103970
滕,12886,5796
藤,5402,7536
提,6580,11957
体,78599,32976
倜,1637,507
悌,1356,293
惕,508,304
天,3898747,1165745
添,367433,89626
田,1617097,516004
恬,3770,63874
甜,24550,403688
湉,429,4645
条,1250,7988
调,1042,9525
眺,395,376
铁,766705,95149
厅,7333,2294
汀,9615,7508
听,12347,9813
廷,1683342,671702
亭,329418,352524
庭,616216,177002
停,44116,57426
葶,73,3333
蜓,156,1818
婷,16026,5187669
霆,46007,5379
挺,95577,6102
珽,981,430
艇,7957,567
通,623773,44789
仝,1987,658
同,1054327,290570
佟,6687,4172
彤,145564,712714
桐,241253,202173
铜,30706,4346
童,129016,113964
僮,1294,1689
潼,13052,23278
瞳,5896,9407
统,82564,6358
头,46110,29342
图,58174,9918
徒,171,164
涂,381,113
屠,0,1
土,222652,79278
钍,77,12
兔,6382,4694
湍,349,105
团,109267,61467
彖,2,0
暾,2049,322
屯,5184,273
囤,4049,36
托,7692,4017
脱,208,219
拓,32107,2571
娃,157469,146690
瓦,8551,2469
崴,8024,3271
外,7406,8798
湾,2888,12541
纨,12,164
宛,4076,53678
菀,280,7190
晚,25056,116255
婉,3215,723991
琬,839,37641
皖,10039,17858
畹,35,168
万,2939435,902106
汪,20139,5005
王,109179,219498
网,4178,6516
往,2467,1624
旺,1717846,115686
望,243430,104712
危,1314,543
威,1387835,152033
葳,6380,10625
微,59694,463014
薇,6435,634983
巍,249219,119724
韦,67216,52799
为,636286,218433
围,9947,7488
唯,34998,47709
帷,581,363
惟,19446,9315
维,2494055,1361860
潍,2063,1045
伟,12462887,2321665
苇,11631,21787
尾,5740,18486
纬,38849,9633
玮,302090,267725
委,75565,10959
炜,550735,136597
娓,218,7708
隗,87,47
卫,2503962,934264
未,26281,25736
位,54375,12653
味,1373,4836
畏,7389,2117
谓,555,140
尉,22857,6071
渭,20583,3334
蔚,79039,124304
慰,10878,7226
魏,37089,19461
温,44301,31677
玟,2131,26048
文,20233017,9234528
纹,4966,17359
闻,59846,25949
雯,42575,1362152
稳,167287,85276
问,8314,7163
汶,44184,46212
翁,2646,1058
沃,12156,521
乌,3083,8524
呜,2175,1201
屋,194,604
无,13501,7415
毋,6,10
吾,18376,17293
吴,23372,11577
梧,5862,1913
五,253641,229290
午,34917,4128
伍,300644,85546
妩,11,1385
武,3480015,170080
舞,4614,7337
兀,270,135
务,7756,3834
物,851,390
悟,3121,753
鋈,104,28
夕,63538,77699
兮,2202,9159
西,814991,440151
汐,3977,15577
希,939862,557733
昔,9675,5916
析,1921,1760
奚,711,1041
浠,2056,4048
晞,3471,6407
烯,1943,2377
惜,6226,102769
晰,6309,11339
稀,4502,6332
翕,1111,1197
犀,1114,773
皙,318,1527
锡,876441,268369
溪,93351,69202
熙,326654,135662
熹,23062,12535
羲,23356,7732
曦,161370,192895
习,145349,76539
席,24613,10749
袭,850,299
洗,2619,902
玺,169415,34669
铣,1430,203
喜,3314498,1563779
禧,38702,14782
系,579,376
细,160509,623231
虾,10206,19874
侠,73750,2220719
峡,2900,7247
遐,916,2029
瑕,355,10098
霞,117762,13143345
黠,279,606
下,1753,938
吓,795,11305
夏,132980,297767
仙,115317,3024966
先,2575618,2099083
纤,989,15196
掀,198,116
鲜,22424,155786
闲,1780,6801
贤,2340217,1701576
弦,9750,11194
咸,20939,7420
娴,704,335284
衔,2249,506
鹇,1,8
嫌,62,1697
冼,211,68
显,1199404,498592
县,14009,2263
现,482548,187051
线,2949,11452
宪,720236,266357
羡,2954,6818
献,420110,182742
项,12213,4662
乡,3827,3000
芗,64,454
相,828983,320955
香,492305,12282149
湘,303057,348442
缃,11,72
骧,2401,348
镶,204,310
详,6798,585
祥,8401216,1104209
翔,1172846,110559
享,30640,9276
响,81551,36259
想,158238,130251
向,990465,398949
象,19389,2619
肖,147036,358920
枭,26064,3478
哓,2612,7149
骁,61798,8580
逍,16203,7476
虓,3250,274
宵,15461,17468
萧,18653,23942
销,1214,563
箫,6367,8622
潇,165211,205159
霄,97828,75999
小,7088341,14117462
晓,4649343,9694009
筱,23356,148556
孝,1480597,625428
校,90542,12886
笑,124507,414560
效,183390,58962
啸,99879,11443
协,24201,4977
勰,3363,1573
谢,15057,9196
懈,108,124
燮,2862,561
心,562865,829995
芯,6926,97368
辛,42193,52951
忻,7024,16596
昕,193647,332800
欣,757851,2655500
锌,7487,4117
新,8105146,3786627
歆,19965,55141
薪,13242,19909
馨,38951,602489
鑫,2872911,1069719
信,1196622,200308
星,2005457,772556
惺,1384,1052
兴,7743425,2166399
邢,1052,726
形,1321,1027
醒,16371,18849
杏,72692,738186
幸,104496,83094
性,1872,853
婞,1,349
兄,1938,33260
雄,2294222,136472
熊,34998,3411
修,871393,286822
庥,149,32
宿,744,474
秀,2050069,29968210
岫,1862,2333
绣,1304,19200
琇,491,3363
锈,274,1175
须,4433,3877
胥,1596,408
顼,971,322
徐,67542,38935
许,88312,45077
诩,420,178
栩,37403,25797
旭,2786547,843773
序,34065,10768
叙,25885,8403
勖,1169,290
绪,595054,283105
续,39829,11258
絮,1352,10070
煦,22178,11797
轩,1063877,256756
宣,355092,167385
萱,23956,278452
瑄,12015,32606
暄,12869,23673
煊,47501,22604
玄,44750,19720
旋,115742,126741
漩,2939,8390
璇,58032,489481
选,287812,67410
烜,19308,5358
泫,664,595
炫,73377,24687
绚,1440,9792
铉,5341,894
渲,2451,4181
薛,6698,8381
学,6969403,2640010
雪,1207580,7568874
血,121,332
勋,583654,42392
埙,136,36
熏,189,130
寻,4610,4838
巡,3690,1268
郇,131,64
荀,2167,1984
洵,11398,5890
浔,1421,891
珣,5503,8575
循,3449,973
训,194638,52089
讯,7969,2370
汛,5367,1977
迅,49192,13881
逊,17553,3633
丫,1730,44610
牙,8611,2828
芽,8391,27694
崖,600,337
涯,5493,2911
雅,152841,2258483
亚,2719227,5042255
娅,3146,399891
胭,15,5641
烟,4619,38444
鄢,126,207
嫣,192,91867
延,1207830,555858
闫,4284,4326
严,97051,48567
言,325766,193284
妍,4229,771690
岩,750863,466798
炎,604810,164234
沿,8317,4956
研,46193,50945
盐,429,399
阎,242,188
颜,82840,213755
俨,2487,1074
衍,204053,66790
剡,410,111
眼,4429,8627
琰,43756,79947
演,9489,5239
砚,34642,21538
彦,1858312,1503650
艳,1084458,13871250
晏,37610,33364
宴,9486,8182
堰,1332,2345
雁,101017,259717
焰,37260,20299
焱,183978,92426
滟,631,11097
燕,658249,9408487
央,12388,23386
泱,2072,2515
鸯,342,9138
秧,726,5138
扬,630865,184888
羊,35373,9065
阳,3044027,987066
玚,515,751
杨,863324,433274
旸,19716,13269
炀,21219,5769
洋,2183245,633664
仰,34406,6009
养,93984,12853
样,11734,15887
烊,2335,837
漾,2559,3405
尧,610873,97872
侥,359,291
垚,78722,41141
姚,19110,32241
谣,2657,9847
摇,4399,5278
遥,51759,49593
瑶,151620,1075128
窈,60,5156
药,1005,2164
要,70478,19529
钥,1639,6702
曜,19479,2743
耀,1782057,268631
椰,625,2702
也,16778,19160
冶,17884,5154
野,143761,28209
业,1231967,283053
叶,268901,1254444
页,862,1883
邺,892,286
夜,3206,4863
晔,62108,79370
烨,215848,187222
液,283,294
一,1350901,726812
伊,53683,217330
衣,2595,5798
医,2575,1748
依,103779,423734
祎,49232,81956
铱,855,3894
揖,8,2
壹,18994,7582
漪,2805,29340
仪,131824,498856
夷,2808,5002
沂,16817,16705
诒,904,482
怡,195661,1934409
宜,412563,361864
贻,95395,38002
移,8834,2750
遗,211,96
颐,7166,14997
彝,348,152
乙,53684,49989
已,5918,4244
以,357988,169473
钇,3102,2179
苡,1205,4636
蚁,33,34
倚,6730,11093
旖,839,30523
弋,10196,7543
亿,90333,33782
义,4626326,884269
艺,457676,731635
忆,24450,65764
仡,1124,142
屹,54131,12884
亦,142546,105912
异,9152,5990
邑,3709,3427
佚,1617,1503
译,23628,36111
易,145913,78027
峄,895,149
佾,190,204
怿,6300,5557
诣,2345,1258
绎,2413,1449
驿,5220,2494
轶,84198,53098
昳,483,4258
弈,7349,4717
奕,380058,298585
羿,26483,8322
益,949509,380305
谊,50534,47563
逸,285474,154143
翊,34875,21783
翌,13197,9429
裔,4883,1536
意,354047,346549
溢,43061,19650
镒,3638,785
毅,1246816,182588
熠,59743,31423
薏,371,4712
燚,39053,16643
翼,87649,23206
懿,87580,126689
因,1804,5679
阴,618,761
茵,1360,144069
荫,15153,9474
音,18535,115273
殷,7900,9587
堙,31,40
吟,4954,62720
垠,4380,2949
银,2431020,2674100
寅,128849,30264
尹,22739,36319
引,27284,204417
隐,1351,1504
印,531481,59617
胤,54604,8757
英,2129955,38849711
莺,1864,83882
婴,1241,5795
瑛,36631,309551
缨,1310,9687
璎,315,4767
樱,1715,55726
鹦,139,718
膺,360,190
鹰,38031,34398
迎,311977,482318
荧,3102,26508
盈,64484,288713
莹,74008,1925270
萤,432,5327
营,377872,123995
萦,107,2599
蓥,1461,6359
楹,1758,4263
滢,6139,129220
潆,251,4575
嬴,558,793
赢,21897,15270
瀛,11161,9305
颍,3831,23338
颖,280659,1996886
影,46552,749475
应,1298681,697126
映,181225,356295
拥,113821,17465
庸,6905,900
雍,22895,5113
墉,1669,103
镛,4054,361
永,12090324,4297884
甬,777,106
咏,54875,181637
泳,133155,107851
勇,6630578,235729
涌,46847,2746
用,93596,26775
游,49973,13476
优,71369,90616
攸,1229,1322
幽,489,3640
悠,6278,18761
尤,27254,13309
由,21177,5745
邮,302,126
油,1795,796
铀,929,332
猷,2762,231
友,4988374,1316508
有,3206397,841086
酉,5915,1602
铕,225,40
又,59014,61522
右,10785,3265
幼,43052,190756
佑,329502,121516
囿,592,154
宥,2087,749
迂,214,106
于,157593,81866
玙,1791,7349
余,647652,164557
妤,208,76959
鱼,25124,65225
禺,1311,507
俞,28143,30956
娱,1085,6774
渔,3680,2028
隅,168,67
逾,1248,792
渝,78451,68397
愉,19817,39792
瑜,260128,599936
榆,29183,29356
虞,2595,1868
愚,13862,3161
与,8835,4832
予,38195,61782
屿,4310,3411
宇,4981612,1649683
羽,221616,347213
雨,1478440,2570260
俣,5812,4161
禹,319274,89222
语,51841,197847
玉,9692197,24546985
芋,2279,4515
聿,8288,2914
郁,45412,49399
育,573570,302707
昱,180376,116678
彧,16955,14523
钰,313416,687426
浴,1437,890
预,675,425
域,5596,1432
欲,2856,1863
淯,553,463
谕,8112,8116
遇,4568,3027
喻,12427,20145
御,4731,4862
寓,1906,1229
裕,627649,181393
愈,5110,2256
煜,363160,133127
誉,55257,28346
毓,129501,127283
豫,38642,28227
鸢,304,270
鸳,453,10671
渊,197147,34958
元,5422759,2014584
园,184217,671795
员,22014,19526
沅,38932,14956
垣,15224,1614
袁,24787,26533
原,197724,54938
圆,87444,319794
援,12243,3693
媛,4299,1603373
缘,35024,64902
塬,2521,1087
源,1195887,240750
辕,1488,268
橼,198,287
远,2735939,892280
苑,12925,113272
院,29360,15573
瑗,1211,11666
愿,32447,19338
约,8139,4939
月,1014146,5762995
玥,20257,275690
岳,429515,92244
钺,4375,1023
阅,5889,7070
悦,256868,957818
跃,1412374,370405
越,305994,239711
粤,24343,16336
樾,2467,2793
晕,199,165
云,7039237,12796808
匀,4268,12386
芸,24765,585173
沄,1128,1648
昀,39093,39216
耘,13142,12192
鋆,11056,6130
允,232411,126041
运,1927058,1034629
韫,3622,8564
韵,25120,193156
蕴,20556,65550
哉,241,167
仔,85597,63495
载,11221,1193
再,350620,207389
在,340374,146458
昝,58,42
赞,115573,32254
臧,45,63
早,45348,69624
藻,2977,597
灶,20982,26244
造,4879,295
则,103769,29302
择,6504,950
泽,3707481,965341
赜,792,205
增,1592578,315136
赠,1721,617
栅,431,1951
斋,14458,5390
宅,727,361
翟,1519,568
寨,5232,686
旃,74,102
詹,714,665
瞻,5785,1907
展,351808,58358
崭,686,288
占,1671229,368604
战,306426,19956
湛,34043,5761
张,142869,216136
章,1858892,314191
彰,21166,1320
漳,2556,120
璋,69233,10284
樟,31101,3053
仉,574,49
掌,4312,4137
仗,115,15
帐,2,0
钊,415375,33619
招,96875,389744
昭,465786,218081
沼,2414,492
召,455934,230014
兆,1705153,642858
诏,2216,398
赵,65960,29838
棹,437,160
照,606608,196839
肇,47172,6783
曌,4370,5963
着,831,1129
折,1588,1511
哲,958972,220402
喆,137056,53263
蛰,462,312
者,6921,10853
锗,111,21
赭,41,16
浙,12270,2534
鹧,20,7
贞,291776,1253783
针,5805,37799
侦,3034,3307
珍,861433,18385273
帧,146,383
浈,494,2519
真,379279,977567
桢,52838,38795
祯,129423,73813
蓁,1247,4071
甄,1779,4847
榛,2335,1878
臻,117992,106550
圳,38227,2775
振,5751280,1099154
朕,20134,1401
赈,276,27
震,470506,26335
镇,419678,22186
争,95260,28345
征,281881,56359
峥,81892,41459
钲,6658,514
铮,83847,32060
筝,1223,5146
蒸,844,880
拯,5533,268
整,1744,2832
正,5303172,1970228
证,9596,568
郑,45516,28863
诤,1131,570
政,1217930,93357
之,464904,236712
支,27955,33295
只,2094,6357
芝,440819,6144980
枝,190203,1930836
知,169117,115627
执,9430,5032
直,20792,6889
值,2313,584
职,1411,329
植,73817,9935
芷,10591,164768
祉,9613,13669
指,3102,519
枳,205,287
至,42069,12226
志,15003624,3755448
郅,6518,639
帜,1170,399
制,545,48
质,12209,2668
治,1417276,420211
峙,3366,397
陟,1183,200
致,136269,26782
秩,2121,307
智,2286929,539107
稚,1741,4325
中,3988057,985978
忠,8259176,1258169
钟,183084,38728
衷,322,34
种,2612,769
仲,825089,231386
众,41650,3927
重,173066,33392
舟,180448,48153
州,278879,11178
周,912791,145632
洲,829870,40050
宙,26179,2878
胄,576,99
朱,23358,22127
珠,337870,2035576
株,1009,1587
诸,400,114
铢,56,99
竹,161014,793998
竺,1312,5050
烛,787,930
主,31647,6025
渚,112,35
瞩,129,81
助,19739,2739
住,2796,558
杼,238,146
驻,238,16
柱,1355876,63952
祝,127648,190123
著,16016,2725
铸,31449,922
筑,7273,1953
翥,2545,704
专,25912,20539
妆,36,2262
庄,80156,32784
壮,330446,18945
状,17040,999
隹,503,1007
追,3477,2140
椎,73,26
锥,719,619
准,22531,5695
倬,7967,3586
棁,43,21
灼,38602,10128
茁,7591,5151
卓,548954,311753
琢,23328,14714
擢,6,0
濯,574,189
孜,16302,28972
姿,4079,155953
兹,3781,1151
资,12914,5645
滋,10472,7815
子,3351610,1850913
姊,33,1365
耔,106,211
籽,3331,5503
梓,517371,258613
紫,126175,617141
訾,95,79
自,1109563,467722
宗,2485646,848471
综,685,143
棕,3270,557
总,7843,1104
纵,2700,403
粽,83,74
邹,2645,1052
族,2287,772
镞,46,11
组,161,185
祖,1518290,539361
钻,4131,5497
醉,1215,449
尊,97868,30138
遵,39538,10605
樽,336,66
左,16510,16913
佐,145714,37136
作,562068,182772
祚,35927,6460
